name;platforms;url;IL categories;IL average time;Complete IL;FG categories;FG average time;Complete FG;Time to Complete Game
 Burger & Frights;Web;https://www.speedrun.com/_burger_and_frights;0;;;1;000:14:38.000;000:14:38.000;000:14:38.000
 Codename: Kids Next Door Operation: S.T.A.R.T.U.P.;Web;https://www.speedrun.com/kndstartup;0;;;5;000:02:55.000;000:14:35.000;000:14:35.000
 Mindseeker;Nintendo Entertainment System;https://www.speedrun.com/_mindseeker;0;;;2;001:15:31.000;002:31:02.000;002:31:02.000
 Rickey Rat;Xbox One, PC, Android, iOS, Macintosh, Xbox Series X, Xbox Series S;https://www.speedrun.com/_rickey_rat;42;000:11:46.752;008:14:43.591;12;;;008:14:43.591
 THAT POKEYMAN THING YOUR GRANDKIDS ARE INTO;;https://www.speedrun.com/_that_pokeyman_thing_your_grandkids_are_into;0;;;11;000:04:38.000;000:50:58.000;000:50:58.000
! Fishy !;Web;https://www.speedrun.com/fishy;0;;;1;000:05:52.000;000:05:52.000;000:05:52.000
!findseed the map;PC, Macintosh, Linux;https://www.speedrun.com/findseed;28;000:20:15.128;009:27:03.603;11;000:59:05.629;010:50:01.919;020:17:05.522
#FUNTIME;PlayStation 4, Xbox One, PC, Switch;https://www.speedrun.com/funtime;0;;;9;000:28:52.000;004:19:48.000;004:19:48.000
#SaveDiscord;;https://www.speedrun.com/savediscord;0;;;4;000:04:08.064;000:16:32.259;000:16:32.259
"&meow; (Meow)";PC, Macintosh;https://www.speedrun.com/meow;0;;;2;000:01:03.285;000:02:06.571;000:02:06.571
'Allo 'Allo! Cartoon Fun!;Amiga;https://www.speedrun.com/allo_allo_cartoon_fun;0;;;1;000:27:22.000;000:27:22.000;000:27:22.000
'n Verlore Verstand;PlayStation 4, Xbox One, PC, Macintosh, Linux, HTC Vive, Oculus VR, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S;https://www.speedrun.com/nvv;78;000:00:49.011;001:03:42.917;40;;;001:03:42.917
'Splosion Man;Xbox 360;https://www.speedrun.com/splosion_man;100;000:01:26.591;002:24:19.133;16;001:50:07.000;029:21:52.000;031:46:11.133
(ben) bonk the ball;Web;https://www.speedrun.com/ben_bonk_the_ball;0;;;13;000:00:23.647;000:05:07.415;000:05:07.415
