name;Platforms;URL;Categories
 Rickey Rat;"Xbox One; PC; Android; iOS; Macintosh; Xbox Series X; Xbox Series S";https://www.speedrun.com/_rickey_rat;"No Major Glitches; 100%; No Major Glitches; 100%"
'Splosion Man;Xbox 360;https://www.speedrun.com/splosion_man;"Multiplayers; World 1; World 2; Multiplayers; World 3"
100% Orange Juice!;PC;https://www.speedrun.com/100oj;Co-op
10^2 (Minecraft Map);PC;https://www.speedrun.com/10_squared_series;13^2
1941: Counter Attack;"Arcade; PlayStation 2; PlayStation Portable; Xbox; PlayStation 4; PC-FX; Switch; MiSTer";https://www.speedrun.com/1941_counter_attack;Any% Co-Op 2 Players
1942: Joint Strike;"PlayStation 3; Xbox 360; PSN Download; Xbox 360 Arcade";https://www.speedrun.com/1942_joint_strike;Co-Op 2 Players
1943: The Battle of Midway;"Nintendo Entertainment System; Arcade; PlayStation 2; PlayStation 3; Xbox; PlayStation 4; Amiga; Commodore 64; Switch; Atari ST; Amstrad CPC; ZX Spectrum; MiSTer";https://www.speedrun.com/1943_the_battle_of_midway;Co-Op 2 Players
1943: The Battle of Midway Mark II;"Arcade; MiSTer";https://www.speedrun.com/1943_the_battle_of_midway_mark_ii;"Any% Co-Op 2 Players; 1 CC Co-Op 2 Players"
1944: The Loop Master;"Arcade; Xbox; PlayStation 4; Switch; MiSTer";https://www.speedrun.com/1944_the_loop_master_;Any% Co-Op 2 Players
19XX: The War Against Destiny;"Arcade; Xbox; PlayStation 4; Switch; MiSTer";https://www.speedrun.com/19xx_the_war_against_destiny;Any% Co-Op 2 Players
2009s Classic Longest Obby!;"PC; Android; iOS; Macintosh";https://www.speedrun.com/2009s_classic_longest_obby;Co-Op Any%
20XX;PC;https://www.speedrun.com/20xx;"Beat the Game Any% (COOP); Beat the Game (COOP) NG+; Beat the Game (Reverent) [COOP]; Rush Job (COOP); Beat the Game Low% (Co-Op)"
39 Days to Mars;;https://www.speedrun.com/39_days_to_mars;"Co-Op; Solo 2p1C"
3D Zelda Relay;;https://www.speedrun.com/3d_zelda_relay;"Original Versions; Remake Versions"
5D Chess with Multiverse Time Travel;"PC; Macintosh; Linux";https://www.speedrun.com/5d_chess;Co- Op
64th Street: A Detective Story;Arcade;https://www.speedrun.com/64th_street_a_detective_story;"Co-op Any%; 1CC Co-op Any%"
7 Days to Die;"PlayStation 4; PC";https://www.speedrun.com/7dtd;"Grace%; Max%; 100Zombie%"
8-Bit Armies;PC;https://www.speedrun.com/8bitarmies;Co-Op Campaign
8-Bit Commando;PC;https://www.speedrun.com/8-bit_commando;"Any% (2 Player); Low% (2 Player)"
8-Bit Hordes;PC;https://www.speedrun.com/8bithordes;Co-Op Campaign
8-Bit Invaders!;PC;https://www.speedrun.com/8bitinvaders;Co-Op Campaign
9th Dawn III;"PlayStation 4; Xbox One; PC; Switch; PlayStation 5; Xbox Series X; Xbox Series S";https://www.speedrun.com/9th_dawn_iii;Any% Co-op
A Hat in Time;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/ahit;"2 Character; Local Co-op; Online Co-op"
A Hat in Time Category Extensions;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/ahitce;"Online Party NG+; Co-op (1.0)"
A Link To The Past Category Extensions;"Super Nintendo; Wii Virtual Console; Nintendo 3DS Virtual Console; Wii U Virtual Console; New Nintendo 3DS; Switch; SNES Classic Mini; MiSTer; Analogue Super Nt";https://www.speedrun.com/alttpce;"Co-op; One-Mind NMG"
A Nightmare on Elm Street;Nintendo Entertainment System;https://www.speedrun.com/anoes;Any% CO-OP
A Way Out;"PlayStation 4; Xbox One; PC";https://www.speedrun.com/a_way_out;"""Any%; PC,  Local; PC,  Online; Console,  Online; Console,  Local"""
A World of Keflings;"Wii U; Xbox 360; Xbox One; PC";https://www.speedrun.com/awok;"""Full Game + DLC; It Came From Outer Space; Curse of the Zombiesaurus; Sugar,  Spice,  and Not So Nice"""
Abyss Odyssey;"PlayStation 3; Xbox 360; PC";https://www.speedrun.com/abyss_odyssey;Any% Co-Op
Achievement Unlocked 2;Web;https://www.speedrun.com/achieveunlocked2;Any% (Co-op)
Active Life: Outdoor Challenge;Wii;https://www.speedrun.com/active_life_outdoor_challenge;"Co-op Beginner 1; Co-op Beginner 2; Co-op Intermediate 1; Co-op Intermediate 2; Co-op Advanced 1; Co-op Advanced 2"
Adventure Quest 3D;"PC; Android; iOS";https://www.speedrun.com/aq3d;"Any%; Glitchless"
Adventure Time: Explore the Dungeon Because I Don't Know!;"Wii U; Nintendo DS; PlayStation 3; Xbox 360; PC";https://www.speedrun.com/etdbidk;"Any%; 100%; Demon Cat%; The Nightosphere"
Adventure Time: Rumble in the Nightosphere;Web;https://www.speedrun.com/at_ritns;Any% (Two Players)
Aero Fighters;"Super Nintendo; Arcade; PlayStation 2";https://www.speedrun.com/aero_fighters;"SNES/FC% Aero Fighters; Arcade% (World) Aero Fighters"
Aero Fighters 2;Arcade;https://www.speedrun.com/aero_fighters_2;Coop any% Loop 1
Aero Fighters 3;Arcade;https://www.speedrun.com/aero_fighters_3;"Coop Any% Loop 1; Coop Any% Complete (Both Loops)"
After the Fall;"PlayStation 4; HTC Vive; Oculus VR; Valve Index; Windows Mixed Reality; Oculus Quest";https://www.speedrun.com/after_the_fall;"2 players; 3 players; 4 players"
Age of Empires II: Definitive Edition;PC;https://www.speedrun.com/aoe2de;"Individual Campaigns Co-op; Co-op Hard"
Age of Empires Online;PC;https://www.speedrun.com/aoeo;"NG+; NG+ Elite; Legendary; Co-op"
Aion Free-to-Play;PC;https://www.speedrun.com/aion_free-to-play;"Alliance; 1/2 Alliance; Full Group; 5 Persons; 4 Persons; 3 Persons; 2 Persons"
Albion Online;"PC; Android; iOS; Macintosh; Linux";https://www.speedrun.com/albion_online;"Group T4; Group T5; Group T6; Hardcore Expedition"
Alien Storm;"Arcade; PC";https://www.speedrun.com/alien_storm;Co-op
Alien Storm (Genesis/Mega Drive);"Sega Genesis; PlayStation 3; Xbox 360; Wii U Virtual Console";https://www.speedrun.com/alien_storm_genesismega_drive;"Co-op; Co-Op"
Alien Swarm;PC;https://www.speedrun.com/alienswarm;"Any% Co-op; Co-op; Co-op (RTA)"
Alien Swarm: Reactive Drop;PC;https://www.speedrun.com/alien_swarm_reactive_drop;"Operation Cleansweep - Any%; Tears For Tarnor - Any%; Paranoia - Any%; Area 9800 - Any%; Tilarus-5 - Any%; Research 7 - Any%; Lana's Escape - Any%"
Alien Syndrome (NES);Nintendo Entertainment System;https://www.speedrun.com/aliensyndrome;2 Player Co-Op
Alien Vs Predator (Arcade);"Arcade; MiSTer";https://www.speedrun.com/avparcade;"Any% Co-Op 2-Player; Any% Co-Op 3-Player"
Alienation;PlayStation 4;https://www.speedrun.com/alienation;"Any% Co-Op; Any% NG+ Co-Op"
Aliens (1990 Arcade);Arcade;https://www.speedrun.com/aliens_konami;2 Players Co-oP
Aliens: Colonial Marines;"PlayStation 3; Xbox; PC";https://www.speedrun.com/acm;"Any% Co-op; Any% Co-op"
Aliens: Fireteam Elite;"PlayStation 4; Xbox One; PC; PlayStation 5; Xbox Series X";https://www.speedrun.com/aliens_fireteam_elite;"2 Players; 3 Players; Priority One; Giants In The Earth; The Gift Of Fire; The Only Way To Be Sure; All Campaigns"
Altered Beast;"Wii Virtual Console; Sega Genesis; Nintendo 3DS; Arcade; PlayStation 2; PlayStation 3; PlayStation Portable; Xbox 360; PC; iOS; Switch";https://www.speedrun.com/altered_beast;Beat the Game (Co-op)
Amazing Frog?;PC;https://www.speedrun.com/amazingfrog;Co-Op
Among Us;"PC; Android; iOS; Switch";https://www.speedrun.com/among_us;"3-4 Crewmates; 5-7 Crewmates; 8-10 Crewmates; 11-14 Crewmates"
Ancients of Ooga;"Xbox 360; PC";https://www.speedrun.com/ooga;"Main Game (X360); Main Game (PC); The Forgotten Chapters; Demo"
Animal Crossing;"GameCube; Wii";https://www.speedrun.com/ac;100%
Animal Jam Classic;"PC; Web; Macintosh; Linux";https://www.speedrun.com/ajc;"Adventures (2 Player); Adventures (3 Player); Adventures (4 Player)"
Anna Kournikova's Smash Court Tennis;PlayStation;https://www.speedrun.com/anna_kournikovas_smash_court_tennis;The Grand Slam (Two Players)
Another Perspective;PC;https://www.speedrun.com/ap;Tool-Assisted Speedrun
Anthem;"PlayStation 4; Xbox One; PC";https://www.speedrun.com/anthem;"Main Quest (Any%); Easy; Grandmaster III"
Ape Escape Series Category Extensions;"PlayStation 2; PlayStation; PlayStation 3; PlayStation Portable; PlayStation Vita; PlayStation 4; Java Phone; Playstation TV; PSN Download; PlayStation 4 Pro; Playstation Now; PlayStation 5; backwards-compatible PlayStation 3; PS5 for backward compatible games";https://www.speedrun.com/aece;"AE1; AE:P&P"
Ape Escape: Pumped & Primed;"PlayStation 2; backwards-compatible PlayStation 3";https://www.speedrun.com/aepp;"Win The Tournament; Any%; NG+ Any%; 100%"
Apex Legends;"PlayStation 4; Xbox One; PC; Switch; PlayStation 5; Xbox Series X; Xbox Series S";https://www.speedrun.com/apex_legends;"Death; Nessy; The Broken Ghost"
Aragami;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/aragami;"NG+ All Kills Co-op; NG+ All Kills Co-op"
Aragami 2;"PlayStation 4; Xbox One; PC; PlayStation 5; Xbox Series X; Xbox Series S";https://www.speedrun.com/aragami_2;"Coop any%; Coop"
Archangel;PC;https://www.speedrun.com/archangel;Run Invalid Round 1
Arcus Odyssey;Sega Genesis;https://www.speedrun.com/arcus_odyssey;Co-op
Area 51 (1995 Arcade);"Sega Saturn; Arcade; PlayStation; PC";https://www.speedrun.com/area_51_1995_arcade;"Novice; Easy; Normal; Hard; Expert; Co-Op - Novice; Co-Op - Easy; Co-Op - Normal; Co-Op - Hard; Co-Op - Expert"
Arise: A Simple Story;"PlayStation 4; Xbox One; PC; Xbox One X; PlayStation 4 Pro; Xbox One S; PlayStation 5; Xbox Series X; Xbox Series S";https://www.speedrun.com/arise;"Any%; 100%"
Arizona Sunshine;"PlayStation 4; HTC Vive; Oculus VR; Valve Index; Windows Mixed Reality";https://www.speedrun.com/arizona_sunshine;"Easy Co-op; Hard Co-op"
ARK: Survival Evolved;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/ark_survival_evolved;"Any% - The Island; Any% - Scorched Earth; Any% - Aberration; Any% - Extinction; Any% - Genesis Part 1; Any% - Genesis Part 2; Any% - The Center; Any% - Ragnarok; Any% - Valguero; any% - Crystal Isles; any% - Lost Island"
