name;platforms;url;categories FG;levels;categories IL;total
! Fishy !;Web;https://www.speedrun.com/fishy;1;0;0; 
!findseed the map;PC, Macintosh, Linux;https://www.speedrun.com/findseed;11;7;28; 
"""Happy"" Platformer";;https://www.speedrun.com/happy_platformer;3;0;0; 
#21: The World;PC;https://www.speedrun.com/_the_world;1;0;0; 
#FUNTIME;PlayStation 4, Xbox One, PC, Switch;https://www.speedrun.com/funtime;9;0;0; 
#SaveDiscord;;https://www.speedrun.com/savediscord;4;3;0; 
"&meow; (Meow)";PC, Macintosh;https://www.speedrun.com/meow;2;0;0; 
'Allo 'Allo! Cartoon Fun!;Amiga;https://www.speedrun.com/allo_allo_cartoon_fun;1;0;0; 
'n Verlore Verstand;PlayStation 4, Xbox One, PC, Macintosh, Linux, HTC Vive, Oculus VR, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, SwitchOLED;https://www.speedrun.com/nvv;30;19;76; 
'Splosion Man;Xbox 360;https://www.speedrun.com/splosion_man;16;50;100; 
(ben) bonk the ball;Web;https://www.speedrun.com/ben_bonk_the_ball;13;0;0; 
(Mario) The Music Box -ARC-;PC;https://www.speedrun.com/mtmba;5;0;0; 
(Mario) The Music Box Remastered;PC;https://www.speedrun.com/mtmbr;10;0;0; 
(The) Final Fantasy Legend;Super Game Boy, Game Boy Player, Super Game Boy 2, Game Boy;https://www.speedrun.com/the_final_fantasy_legend;2;0;0; 
*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION;PC;https://www.speedrun.com/new_scuffed_bhop_simulation_2026_goty_edition;3;13;13; 
*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP);Xbox, PC, Web;https://www.speedrun.com/new_scuffed_epic_bhop_simulator_2023_pog_champ;8;86;86; 
- Pixel Sheep -;;https://www.speedrun.com/pixel_sheep;6;0;0; 
-SPROUT-;;https://www.speedrun.com/-sprout-;2;5;10; 
...Iru!;PlayStation 2, PlayStation, PlayStation 3;https://www.speedrun.com/iru;2;0;0; 
..and the mooncats;PC;https://www.speedrun.com/.and_the_mooncats;1;0;0; 
.cat Milk;Switch;https://www.speedrun.com/cat_milk;1;5;5; 
.flow;PC;https://www.speedrun.com/dotflow;7;0;0; 
.hack//G.U. Last Recode;PlayStation 4, PC;https://www.speedrun.com/guhd;22;1;20; 
.hack//G.U. Volume 1: Rebirth;PlayStation 2;https://www.speedrun.com/.hack_g.u._volume_1_rebirth;2;0;0; 
.hack//G.U. Volume 2: Reminisce;PlayStation 2;https://www.speedrun.com/.hack_g.u._volume_2_reminisce;2;0;0; 
.hack//G.U. Volume 3: Redemption;PlayStation 2;https://www.speedrun.com/.hack_g.u._volume_3_redemption;1;0;0; 
.hack//Infection;PlayStation 2;https://www.speedrun.com/.hackinfection;1;0;0; 
.hack//Mutation;PlayStation 2;https://www.speedrun.com/.hackmutation;1;0;0; 
.hack//Outbreak;PlayStation 2;https://www.speedrun.com/.hackoutbreak;1;0;0; 
.hack//Quarantine;PlayStation 2;https://www.speedrun.com/.hackquarantine;1;0;0; 
.kkrieger;PC;https://www.speedrun.com/kkrieger;1;0;0; 
//N.P.P.D. RUSH//- The milk of Ultraviolet;PC;https://www.speedrun.com/nppdrush;1;0;0; 
007 Legends;Wii U, PlayStation 3, Xbox 360, PC;https://www.speedrun.com/007_legends;7;13;13; 
007 Racing;PlayStation;https://www.speedrun.com/007_racing;2;12;12; 
007: Agent Under Fire;GameCube, PlayStation 2, Xbox;https://www.speedrun.com/auf;4;12;36; 
007: From Russia With Love;GameCube, PlayStation 2, PlayStation Portable, Xbox;https://www.speedrun.com/007frwl;2;18;18; 
007: NightFire (GBA);Game Boy Advance;https://www.speedrun.com/007nf_gba;2;9;18; 
007: Nightfire Category Extensions;GameCube, PlayStation 2, Xbox;https://www.speedrun.com/007nfca;7;12;48; 
007: The World is Not Enough;Nintendo 64;https://www.speedrun.com/twine;4;14;42; 
007: The World is Not Enough (PS1);PlayStation 2, PlayStation, PlayStation 3;https://www.speedrun.com/twineps1;2;11;22; 
03.04;PC;https://www.speedrun.com/03.04;2;0;0; 
0error0;Web;https://www.speedrun.com/0error0;2;0;0; 
0R8 Demo;PC;https://www.speedrun.com/0r8_demo;2;0;0; 
1 on 1 Government;Arcade;https://www.speedrun.com/1_on_1_government;1;0;0; 
1 Screen Platformer;PC;https://www.speedrun.com/1sp;14;0;0; 
1 vs 100;Nintendo DS, Nintendo 3DS, New Nintendo 3DS;https://www.speedrun.com/1_vs_100;2;0;0; 
1-2-Switch;Switch;https://www.speedrun.com/1-2-switch;1;11;11; 
10 Beautiful Postcards;PC;https://www.speedrun.com/tenpostcards;1;0;0; 
10 Gnomes 10: Seashore;PC, Web;https://www.speedrun.com/10_gnomes_10_2008;1;0;0; 
10 Gnomes 11: the Remains;PC, Web;https://www.speedrun.com/10_gnomes_11;1;0;0; 
10 Gnomes 12: the Tank;PC, Web;https://www.speedrun.com/10_gnomes_12;1;0;0; 
10 Gnomes 1: the Rooftops;PC, Web;https://www.speedrun.com/10_gnomes_1;1;0;0; 
10 Gnomes 2: Walk in the Park;PC, Web;https://www.speedrun.com/10_gnomes_2;1;0;0; 
10 Gnomes 3: Early Spring Garden;PC, Web;https://www.speedrun.com/10_gnomes_3;1;0;0; 
10 Gnomes 4: Foggy Flat;PC, Web;https://www.speedrun.com/10_gnomes_4;1;0;0; 
10 Gnomes 5: the Shipyard;PC, Web;https://www.speedrun.com/10_gnomes_5;1;0;0; 
10 Gnomes 6: the Hall;PC, Web;https://www.speedrun.com/10_gnomes_6;1;0;0; 
10 Gnomes 7: the Solitude;PC, Web;https://www.speedrun.com/10_gnomes_7;1;0;0; 
10 Gnomes 8: Water Forge;PC, Web;https://www.speedrun.com/10_gnomes_8;1;0;0; 
10 Gnomes 9: Chemistry;PC, Web;https://www.speedrun.com/10_gnomes_9_chemistry;1;0;0; 
10 Gnomes in Bologna;PC, Web;https://www.speedrun.com/10_gnomes_in_b;1;0;0; 
10 Gnomes in Dubrovnik;PC, Web;https://www.speedrun.com/10_gnomes_in_d;1;0;0; 
10 Gnomes in Liege;PC, Web;https://www.speedrun.com/10_gnomes_in_l;1;0;0; 
10 Gnomes in Malmo;PC, Web;https://www.speedrun.com/10_gnomes_in_malmo;1;0;0; 
10 Gnomes in Montaigut-le-Blanc;PC, Web;https://www.speedrun.com/10_gnomes_in_m;1;0;0; 
10 Gnomes in New York;PC, Web;https://www.speedrun.com/10_gnomes_in_new_york;1;0;0; 
10 Gnomes in Oristano;PC, Web;https://www.speedrun.com/10_gnomes_in_oristano;1;0;0; 
10 Gnomes in Paris;PC, Web;https://www.speedrun.com/10_gnomes_in_paris;1;0;0; 
10 Gnomes in Porto Petro;PC, Web;https://www.speedrun.com/10_gnomes_in_p;1;0;0; 
10 Gnomes in Pothia;PC, Web;https://www.speedrun.com/10_gnomes_in_pothia;1;0;0; 
10 Gnomes in Trstenik;PC, Web;https://www.speedrun.com/10_gnomes_in_t;1;0;0; 
10 Gnomes in Venice;PC, Web;https://www.speedrun.com/10_gnomes_in_v;1;0;0; 
10 Minutes 1 Hour 2 Hours;Web;https://www.speedrun.com/10_minutes_1_hour_2_hours;1;0;0; 
10 Second Ninja;PC, Macintosh;https://www.speedrun.com/10sn;1;5;45; 
10 Second Ninja X;PlayStation Vita, PlayStation 4, Xbox One, PC;https://www.speedrun.com/10snx;4;12;120; 
10 Second Run Returns;Switch;https://www.speedrun.com/10srr;45;105;315; 
10 Second Shuriken;PC;https://www.speedrun.com/10_second_shuriken;1;0;0; 
10 second to win;;https://www.speedrun.com/10_seconds_to_win;2;0;0; 
10-Pin Bowling;Game Boy Color;https://www.speedrun.com/10pinbowling;1;0;0; 
10-Yard Fight;Nintendo Entertainment System, Arcade, MSX;https://www.speedrun.com/10-yard_fight;1;0;0; 
100 Hidden Frogs;PC;https://www.speedrun.com/100_hidden_frogs;1;0;0; 
100 hidden rams;PC;https://www.speedrun.com/100_hidden_rams;3;0;0; 
100 Meters Race;PC, Android, iOS, Web;https://www.speedrun.com/100_meters_race;4;10;20; 
100 Rooms of Enemies;Super Nintendo;https://www.speedrun.com/100rooms;2;0;0; 
100 Rooms of Kuso;Super Nintendo;https://www.speedrun.com/100_rooms_of_kuso;1;0;0; 
100 vacas;PC;https://www.speedrun.com/100_vacas;2;0;0; 
100% Complete;PC;https://www.speedrun.com/100_complete;2;0;0; 
100% Orange Juice!;PC;https://www.speedrun.com/100oj;18;11;11; 
1000 Amps;PC;https://www.speedrun.com/1000_amps;2;0;0; 
1000 Coins;PC;https://www.speedrun.com/1000;0;19;114; 
1000 Days to Escape;PC;https://www.speedrun.com/1000_days_to_escape;3;0;0; 
10000000;PC, Android, iOS;https://www.speedrun.com/10000000;1;0;0; 
1001 Spikes;;https://www.speedrun.com/1001_spikes;4;35;35; 
100m Race;;https://www.speedrun.com/race;2;0;0; 
100th Anniversary of the Crossword Puzzle;Web;https://www.speedrun.com/100th_anniversary_of_the_crossword_puzzle;1;0;0; 
101 Dalmatians: Escape from DeVil Manor;PC, MS-DOS;https://www.speedrun.com/101_dalmatians_escape_from_devil_manor;2;0;0; 
101-in-1 Explosive Megamix (DS);Nintendo DS, Nintendo 3DS;https://www.speedrun.com/101in1_explosive_megamix_ds;2;101;101; 
101-in-1 Games 2: Evolution ;Android, iOS;https://www.speedrun.com/101in12;4;105;210; 
101-in-1 Games Anthology;Android, iOS;https://www.speedrun.com/101in1ant;4;48;96; 
1010!;Android, iOS;https://www.speedrun.com/1010;27;0;0; 
1066;Web;https://www.speedrun.com/1066;3;3;27; 
1080° Avalanche;GameCube, Wii;https://www.speedrun.com/1080avalanche;28;22;88; 
1080° Snowboarding;Nintendo 64, Wii Virtual Console, Wii U Virtual Console;https://www.speedrun.com/1080snowboarding;3;9;72; 
10mg :);PC;https://www.speedrun.com/10mgsmileyface;11;0;0; 
10S;PC;https://www.speedrun.com/10s;1;0;0; 
10th Anniversary Map;;https://www.speedrun.com/mcm_10am;2;0;0; 
10^2 (Minecraft Map);PC;https://www.speedrun.com/10_squared_series;10;0;0; 
112 Operator;PC, Android, iOS, Macintosh, Switch;https://www.speedrun.com/112_operator;5;0;0; 
1187: Episode One;PC;https://www.speedrun.com/1187ep1;1;0;0; 
12 is Better Than 6;PC, Switch;https://www.speedrun.com/12_is_better_than_6;2;0;0; 
